n_labels,test_acc
20,0.2112
30,0.2402
40,0.2239
50,0.2437
60,0.2411
70,0.2516
80,0.2538
90,0.2488
100,0.2656
110,0.2516
120,0.2706
130,0.2558
140,0.1988
150,0.295
160,0.3109
170,0.3175
180,0.3216
190,0.2863
200,0.3035
210,0.3296
220,0.3284
230,0.3152
240,0.3152
250,0.3329
260,0.3228
270,0.3016
280,0.3502
290,0.34
300,0.3465
