n_labels,test_acc
20,0.1521
30,0.1821
40,0.1883
50,0.1907
60,0.1941
70,0.2344
80,0.216
90,0.2344
100,0.2381
110,0.2329
120,0.2597
130,0.2621
140,0.2573
150,0.2814
160,0.2866
170,0.2893
180,0.2978
190,0.3106
200,0.1937
210,0.3259
220,0.3282
230,0.3101
240,0.3383
250,0.3393
260,0.3501
270,0.2873
280,0.3487
290,0.333
300,0.3462
