n_labels,test_acc
20,0.1854
30,0.2131
40,0.2354
50,0.2598
60,0.2657
70,0.2507
80,0.2557
90,0.2691
100,0.2774
110,0.2669
120,0.2858
130,0.2716
140,0.2541
150,0.2905
160,0.3009
170,0.3052
180,0.3004
190,0.313
200,0.3155
210,0.3211
220,0.3401
230,0.349
240,0.353
250,0.334
260,0.3282
270,0.251
280,0.3459
290,0.3261
300,0.361
