n_labels,test_acc
20,0.1805
30,0.1917
40,0.2005
50,0.2297
60,0.227
70,0.2159
80,0.2456
90,0.2391
100,0.2405
110,0.2503
120,0.2489
130,0.2529
140,0.276
150,0.2592
160,0.2785
170,0.2771
180,0.2904
190,0.2869
200,0.3058
210,0.3024
220,0.3154
230,0.3245
240,0.337
250,0.3224
260,0.3441
270,0.2903
280,0.3417
290,0.3224
300,0.2516
